Feature ID,Domain,Phylum,Class,Order,Family,Genus,Species
a41a4590d82dc95a70a5cc5af97a9568,Bacteria, Actinobacteriota, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinomyces, Schaalia_odontolytica
367c3ebd24976383f0c0ecd0cea3ac18,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
5d0008c4f60b2ce6845d8ba7747e0e92,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_gasseri
2679e2e31117c46a0ffbbb8f87dc8b3b,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
f9ef336d6c5951f7a91c598f1e5a5f90,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
f9470c667a53a1a2ee2389e0505c46d9,Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Lawsonella, Lawsonella_clevelandensis
981c2e75e6cf21650596fd38220e5524,Bacteria, Firmicutes, Negativicutes, Veillonellales-Selenomonadales, Veillonellaceae, Veillonella,
8c13f22b9f48ca2ccb803deafd111e05,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
092c2943495fdfcb6b869270ae990f25,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae, Catonella, uncultured_bacterium
cb795f7c0eb7f6c220c905ee67c9b144,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Family_XI, Peptoniphilus, uncultured_bacterium
4d6a8063748ab684d706ac00cb17694c,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
98daebd12d1b0a348446fa118f376782,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_gasseri
0b2af7c97596a2f235f99df4f6707951,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Family_XI, Gallicola, Peptoniphilaceae_bacterium
b13b8353462d1fd0170051cbf3e71aa4,Bacteria, Actinobacteriota, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinomyces,
23942e4fa2f48a8a57b513ec374fdecd,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
39a651b6e0fcd8a03f578e4dad0eaaa1,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_jensenii
f3e7b9cfd311b9562460486cd604f270,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella_7, Prevotella_denticola
a040d3da63afb5ebe03da72a5fc9eaf2,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
9df01602ab13f28ba2f7236f10d4fe95,Bacteria, Actinobacteriota, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium, Corynebacterium_riegelii
3b0e6a624d760cb06f6af09ed2ddbeab,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
4eb630ccbc3bf94bda7c4dfa9c6e4c25,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_paragasseri
eace637ea3a898ca796639fa0c0863f6,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_crispatus
96b90376a8769974a4da9a4e13df8e99,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Pasteurellaceae, Aggregatibacter, Aggregatibacter_segnis
f03487773fdc7fccd03e38e0384e4c29,Bacteria, Actinobacteriota, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinomyces, uncultured_bacterium
2e535699a182461005642d8e4b3d1652,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lacticaseibacillus, Lactobacillus_rhamnosus
88073a16d5498c9e91b145a10710f3a5,Bacteria, Firmicutes, Clostridia, Peptostreptococcales-Tissierellales, Family_XI, Finegoldia, Finegoldia_magna
51cdc76d7026e3a95a110a88260f99c2,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus_iners
cd41e6a2deb86908ddfe14d20dfd4420,Bacteria, Actinobacteriota, Actinobacteria, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, Bifidobacterium_breve
2b28c71bec3bfe66c308887881715f91,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Limosilactobacillus,
da86cb8464a7be36ba499a7b4c59e5a6,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella_7, Prevotella_denticola
